Date,Total_Revenue,Total_Orders,Avg_Freight_Ratio,Daily_AOV,Sales_Lag_1,Sales_Lag_7,Rolling_Mean_7d,DayOfWeek,Is_Weekend,DayOfMonth,Month
2017-09-20,22102.55,161,0.30781316807963927,137.28291925465837,20057.95,27593.28,22599.55,2,0,20,9
2017-09-21,19015.53,150,0.3280075856056348,126.77019999999999,22102.55,22557.76,21815.16,3,0,21,9
2017-09-22,16255.12,136,0.2766517840219608,119.5229411764706,19015.53,18373.26,21309.12714285714,4,0,22,9
2017-09-23,10513.5,85,0.39528990634445726,123.68823529411765,16255.12,21147.37,21006.535714285714,5,1,23,9
2017-09-24,13049.75,113,0.2934429921298734,115.48451327433628,10513.5,19979.420000000002,19487.411428571428,6,1,24,9
2017-09-25,17987.1,133,0.36678786675719666,135.24135338345863,13049.75,28487.81,18497.45857142857,0,0,25,9
2017-09-26,21681.9,179,0.29355830104095987,121.12793296089386,17987.1,20057.95,16997.35714285714,1,0,26,9
2017-09-27,20646.920000000002,144,0.3012062058148454,143.3813888888889,21681.9,22102.55,17229.35,2,0,27,9
2017-09-28,23264.52,142,0.2745759690908854,163.83464788732394,20646.920000000002,19015.53,17021.402857142857,3,0,28,9
2017-09-29,30878.56,116,0.29374196796054713,266.1944827586207,23264.52,16255.12,17628.40142857143,4,0,29,9
2017-09-30,12685.49,109,0.3026481449058025,116.38064220183486,30878.56,10513.5,19717.464285714286,5,1,30,9
2017-10-01,18821.27,128,0.27580354875929936,147.041171875,12685.49,13049.75,20027.74857142857,6,1,1,10
2017-10-02,21764.65,142,0.3150427470219674,153.27218309859157,18821.27,17987.1,20852.25142857143,0,0,2,10
2017-10-03,26118.57,198,0.3255173106487841,131.9119696969697,21764.65,21681.9,21391.90142857143,1,0,3,10
2017-10-04,21197.7,157,0.33323913036531655,135.0171974522293,26118.57,20646.920000000002,22025.71142857143,2,0,4,10
2017-10-05,25517.52,140,0.25089409087342945,182.268,21197.7,23264.52,22104.394285714283,3,0,5,10
2017-10-06,17084.670000000002,126,0.2963723561142821,135.59261904761905,25517.52,30878.56,22426.25142857143,4,0,6,10
2017-10-07,15376.02,103,0.26549262544861324,149.28174757281553,17084.670000000002,12685.49,20455.695714285714,5,1,7,10
2017-10-08,16539.010000000002,124,0.3110635313048909,133.37911290322583,15376.02,18821.27,20840.057142857142,6,1,8,10
2017-10-09,30337.79,191,0.3073009854697576,158.83659685863876,16539.010000000002,21764.65,20514.02,0,0,9,10
2017-10-10,28151.13,180,0.35455136932644715,156.39516666666668,30337.79,26118.57,21738.754285714287,1,0,10,10
2017-10-11,22669.37,156,0.29499011871642145,145.31647435897435,28151.13,21197.7,22029.12,2,0,11,10
2017-10-12,18754.23,140,0.2903116188113562,133.9587857142857,22669.37,25517.52,22239.358571428573,3,0,12,10
2017-10-13,22881.19,151,0.2961286046454598,151.531059602649,18754.23,17084.670000000002,21273.174285714285,4,0,13,10
2017-10-14,13528.82,116,0.3730425594370121,116.62775862068965,22881.19,15376.02,22101.248571428576,5,1,14,10
2017-10-15,18751.85,120,0.33529654357593325,156.26541666666665,13528.82,16539.010000000002,21837.362857142853,6,1,15,10
2017-10-16,30580.16,194,0.33357827799091183,157.6296907216495,18751.85,30337.79,22153.482857142855,0,0,16,10
2017-10-17,29675.77,197,0.3214380080482508,150.6384263959391,30580.16,28151.13,22188.10714285714,1,0,17,10
2017-10-18,27257.79,176,0.29832442394207614,154.87380681818183,29675.77,22669.37,22405.91285714286,2,0,18,10
2017-10-19,23223.71,175,0.2758921330915784,132.70691428571428,27257.79,18754.23,23061.40142857143,3,0,19,10
2017-10-20,18626.2,120,0.29398049199330734,155.21833333333333,23223.71,22881.19,23699.89857142857,4,0,20,10
2017-10-21,14982.45,110,0.2855341030330703,136.20409090909092,18626.2,13528.82,23092.042857142857,5,1,21,10
2017-10-22,19786.81,157,0.36420334541482136,126.03063694267517,14982.45,18751.85,23299.704285714284,6,1,22,10
2017-10-23,22278.1,158,0.3312829688694222,141.0006329113924,19786.81,30580.16,23447.555714285718,0,0,23,10
2017-10-24,22071.27,164,0.30773457945113114,134.58091463414635,22278.1,29675.77,22261.547142857144,1,0,24,10
2017-10-25,17507.06,154,0.31531667396022317,113.6822077922078,22071.27,27257.79,21175.190000000002,2,0,25,10
2017-10-26,22573.15,143,0.3742976690948308,157.85419580419583,17507.06,23223.71,19782.22857142857,3,0,26,10
2017-10-27,20377.58,131,0.27664401585355575,155.55404580152674,22573.15,18626.2,19689.29142857143,4,0,27,10
2017-10-28,16483.61,86,0.3441077102692592,191.66988372093024,20377.58,14982.45,19939.488571428574,5,1,28,10
2017-10-29,17267.75,130,0.3351725250045347,132.82884615384614,16483.61,19786.81,20153.94,6,1,29,10
2017-10-30,20221.23,144,0.27871056561650615,140.42520833333333,17267.75,22278.1,19794.074285714283,0,0,30,10
2017-10-31,23813.0,157,0.27649621699285126,151.6751592356688,20221.23,22071.27,19500.235714285718,1,0,31,10
2017-11-01,19383.61,109,0.27754969385536943,177.83128440366974,23813.0,17507.06,19749.054285714286,2,0,1,11
2017-11-02,21263.73,121,0.25704729954165506,175.73330578512397,19383.61,22573.15,20017.132857142857,3,0,2,11
2017-11-03,22844.05,138,0.2688570557369772,165.53659420289856,21263.73,20377.58,19830.07285714286,4,0,3,11
2017-11-04,19169.07,111,0.2871689496410542,172.69432432432433,22844.05,16483.61,20182.425714285713,5,1,4,11
2017-11-05,17327.44,141,0.3754624954847344,122.88964539007091,19169.07,17267.75,20566.062857142857,6,1,5,11
2017-11-06,28600.29,190,0.2950145116994134,150.52784210526318,17327.44,20221.23,20574.59,0,0,6,11
2017-11-07,20829.71,157,0.3587894901370398,132.67331210191082,28600.29,23813.0,21771.59857142857,1,0,7,11
2017-11-08,19240.51,174,0.31930178476539944,110.57764367816091,20829.71,19383.61,21345.414285714283,2,0,8,11
2017-11-09,25053.34,188,0.30571065711163425,133.26244680851065,19240.51,21263.73,21324.971428571425,3,0,9,11
2017-11-10,20223.84,164,0.304713169718551,123.3160975609756,25053.34,22844.05,21866.344285714287,4,0,10,11
2017-11-11,23292.07,155,0.3118286403623235,150.2714193548387,20223.84,19169.07,21492.028571428575,5,1,11,11
2017-11-12,23087.260000000002,172,0.30634917817812496,134.2282558139535,23292.07,17327.44,22081.028571428567,6,1,12,11
